,Missing_Count,Missing_Percentage
PoolQC,1453,99.52054794520548
MiscFeature,1406,96.30136986301369
Alley,1369,93.76712328767123
Fence,1179,80.75342465753424
MasVnrType,872,59.726027397260275
FireplaceQu,690,47.26027397260274
LotFrontage,259,17.73972602739726
GarageType,81,5.5479452054794525
GarageYrBlt,81,5.5479452054794525
GarageFinish,81,5.5479452054794525
GarageQual,81,5.5479452054794525
GarageCond,81,5.5479452054794525
BsmtExposure,38,2.6027397260273974
BsmtFinType2,38,2.6027397260273974
BsmtQual,37,2.5342465753424657
BsmtCond,37,2.5342465753424657
BsmtFinType1,37,2.5342465753424657
MasVnrArea,8,0.547945205479452
Electrical,1,0.0684931506849315
